date,total_case
2-Mar,2
3-Mar,2
4-Mar,2
5-Mar,2
6-Mar,4
7-Mar,4
8-Mar,6
9-Mar,19
10-Mar,27
12-Mar,34
13-Mar,69
14-Mar,96
15-Mar,117
16-Mar,134
17-Mar,172
18-Mar,227
19-Mar,309
20-Mar,369
21-Mar,450
22-Mar,514
23-Mar,579
24-Mar,685
25-Mar,790
26-Mar,893
27-Mar,1046
28-Mar,1155
29-Mar,1285
30-Mar,1414
31-Mar,1528
1-Apr,1677
2-Apr,1790
3-Apr,1986
4-Apr,2092
5-Apr,2273
6-Apr,2491
7-Apr,2738
8-Apr,2956
9-Apr,3293
10-Apr,3512
11-Apr,3842
12-Apr,4241
13-Apr,4557
14-Apr,4839
15-Apr,5136
16-Apr,5516
17-Apr,5923
18-Apr,6248
19-Apr,6575
20-Apr,6760
21-Apr,7135
